Date,Pair,Buy_Sell,Price,Volume,Spent_Gain
24-11-2021,ADAUSDT,BUY,1.65,9,14.85
24-11-2021,ADAUPUSDT,BUY,57.6,0.2,11.52
24-11-2021,ADAUSDT,BUY,1.693,30,50.79
24-11-2021,ONEUSDT,BUY,0.31509,50,15.7545
24-11-2021,ADAUSDT,BUY,1.689,6.2,10.4718
23-11-2021,QIUSDT,BUY,0.235,50,11.75
23-11-2021,DOTUSDT,BUY,39.4,0.1,3.94
23-11-2021,DOTUSDT,BUY,39.4,0.3,11.82
23-11-2021,AVAXUSDT,SELL,133.94,0.15,20.091
23-11-2021,QIUSDT,BUY,0.2452,54,13.2408
20-11-2021,AVAXUSDT,SELL,118.22,0.18,21.2796
20-11-2021,AVAXUSDT,BUY,118.18,0.09,10.6362
20-11-2021,GALAUSDT,SELL,0.35985,28,10.0758
20-11-2021,GALAUSDT,SELL,0.3,34,10.2
18-11-2021,ADAUPUSDT,BUY,65,0.16,10.4
17-11-2021,ADAUPUSDT,BUY,72.374,0.17,12.30358
17-11-2021,GALAUSDT,SELL,0.21001,58,12.18058
16-11-2021,DOTUSDT,BUY,42.07,0.55,23.1385
16-11-2021,GRTUSDT,BUY,0.9413,11,10.3543
16-11-2021,FETUSDT,BUY,0.7809,13,10.1517
16-11-2021,ADAUPUSDT,BUY,76.946,0.2,15.3892
12-11-2021,IOTXUSDT,BUY,0.16309,62,10.11158
11-11-2021,ADAUPUSDT,BUY,96.527,0.11,10.61797
11-11-2021,ADAUPUSDT,BUY,97.348,0.11,10.70828
04-11-2021,OCEANUSDT,BUY,0.9746,11,10.7206
04-11-2021,ADAUSDT,BUY,1.983,5.1,10.1133
04-11-2021,ATOMUSDT,BUY,36.92,0.28,10.3376
02-11-2021,XECUSDT,BUY,0.00017917,55815,10.00037355
29-10-2021,FTMUSDT,BUY,3.0266,4,12.1064
27-10-2021,EOSUSDT,BUY,4.238,2.4,10.1712
27-10-2021,VETUSDT,BUY,0.12766,106.2,13.557492
27-10-2021,FTMUSDT,BUY,2.8366,6,17.0196
27-10-2021,ADAUSDT,BUY,1.944,12.2,23.7168
26-10-2021,SHIBUSDT,SELL,0.0000467,1529052,71.4067284
25-10-2021,XTZUSDT,BUY,6.606,1.6,10.5696
25-10-2021,XECUSDT,BUY,0.00019203,52070,9.9990021
25-10-2021,SXPUSDT,BUY,2.285,6.4,14.624
25-10-2021,THETAUSDT,BUY,6.745,2.3,15.5135
25-10-2021,FETUSDT,BUY,0.7495,50,37.475
25-10-2021,OCEANUSDT,BUY,0.9061,12,10.8732
25-10-2021,ADAUSDT,BUY,2.153,8.4,18.0852
25-10-2021,ADAUSDT,BUY,2.153,4.7,10.1191
24-10-2021,FETUSDT,BUY,0.7768,13,10.0984
24-10-2021,XECUSDT,BUY,0.00019203,52008,9.98709624
23-10-2021,ADAUSDT,BUY,2.15,4.7,10.105
19-10-2021,FETUSDT,BUY,0.7279,7,5.0953
19-10-2021,FETUSDT,BUY,0.7279,15,10.9185
19-10-2021,XTZUSDT,BUY,6.601,1.6,10.5616
19-10-2021,GRTUSDT,BUY,0.7673,14,10.7422
04-10-2021,CAKEUSDT,BUY,18.98,0.42,7.9716
04-10-2021,CAKEUSDT,BUY,18.97,1.07,20.2979
30-09-2021,AVAXUSDT,BUY,66.23,0.17,11.2591
29-09-2021,DOTUSDT,BUY,26.97,0.61,16.4517
29-09-2021,ATOMUSDT,BUY,33.78,0.6,20.268
29-09-2021,LTCUSDT,BUY,145.3,0.071,10.3163
29-09-2021,ETHUSDT,BUY,"2,818.76",0.0036,10.147536
29-09-2021,GALAUSDT,BUY,0.08161,123,10.03803
29-09-2021,LINKUSDT,BUY,22.81,0.44,10.0364
29-09-2021,ADAUSDT,BUY,2.05,4.9,10.045
26-09-2021,VETUSDT,BUY,0.0917,119.9,10.99483
26-09-2021,FTMUSDT,BUY,1.1897,9,10.7073
26-09-2021,SOLUSDT,BUY,130.32,0.12,15.6384
26-09-2021,BNBUSDT,BUY,339.6,0.033,11.2068
26-09-2021,ETHUSDT,BUY,"2,855.29",0.0043,12.277747
26-09-2021,LINKUSDT,BUY,23.79,0.64,15.2256
25-09-2021,EOSUSDT,BUY,3.986,3.8,15.1468
25-09-2021,GALAUSDT,BUY,0.09414,159,14.96826
24-09-2021,BNBUSDT,BUY,353.1,0.029,10.2399
24-09-2021,VTHOUSDT,BUY,0.008424,1188,10.007712
24-09-2021,ETHUSDT,BUY,"2,900.66",0.0035,10.15231
24-09-2021,VETUSDT,BUY,0.0927,107.9,10.00233
22-09-2021,SOLUSDT,BUY,127.65,0.08,10.212
22-09-2021,ETHUSDT,BUY,"2,855.49",0.0053,15.134097
20-09-2021,ATOMUSDT,BUY,37.57,0.27,10.1439
20-09-2021,SOLUSDT,BUY,132.4,0.11,14.564
20-09-2021,ADAUSDT,BUY,2,5.1,10.2
20-09-2021,CAKEUSDT,BUY,19.53,1,19.53
20-09-2021,FETUSDT,BUY,0.65,16,10.4
20-09-2021,VETUSDT,BUY,0.09749,102.6,10.002474
20-09-2021,SOLUSDT,BUY,139.11,0.08,11.1288
20-09-2021,ADAUSDT,BUY,2.115,4.8,10.152
17-09-2021,XECUSDT,BUY,0.00024,41669,10.00056
16-09-2021,SOLUSDT,BUY,150.5,0.07,10.535
16-09-2021,ATOMUSDT,BUY,35.33,0.29,10.2457
16-09-2021,ADAUSDT,BUY,2.425,4.2,10.185
16-09-2021,SOLUSDT,BUY,156.77,0.07,10.9739
15-09-2021,ADAUSDT,BUY,2.479,4.2,10.4118
15-09-2021,XECUSDT,SELL,0.00024697,52637,12.99975989
14-09-2021,MATICUSDT,BUY,1.295,11.7,15.1515
14-09-2021,LINKUSDT,BUY,29.26,0.42,12.2892
14-09-2021,SOLUSDT,BUY,145.78,0.08,11.6624
14-09-2021,ALGOUSDT,BUY,2.0217,7,14.1519
