Date,Pair,Type,Price,Amount,Total,Fee,Fee Coin
28-04-2022,GMTUSDT,SELL,4.07668,3,12.23004,2.35E-05,BNB
27-04-2022,AXSUSDT,BUY,39.15,0.66,25.839,4.97E-05,BNB
27-04-2022,GMTUSDT,SELL,3.30875,7.8,25.80825,4.97E-05,BNB
25-04-2022,DOTUPUSDT,BUY,1.2849,10,12.849,2.45E-05,BNB
25-04-2022,OMUSDT,BUY,0.1126,239,26.9114,5.08E-05,BNB
25-04-2022,MATICUSDT,BUY,1.302,8,10.416,1.97E-05,BNB
25-04-2022,BNBUPUSDT,BUY,167.13,0.1,16.713,3.17E-05,BNB
25-04-2022,XRPUPUSDT,BUY,0.8707,20,17.414,3.31E-05,BNB
25-04-2022,ADAUPUSDT,BUY,6.763,2.76,18.66588,3.54E-05,BNB
25-04-2022,ADAUPUSDT,BUY,6.806,1.75,11.9105,2.27E-05,BNB
25-04-2022,XECUSDT,SELL,8.62E-05,520101,44.81710317,8.56E-05,BNB
25-04-2022,XECUSDT,SELL,8.62E-05,179899,15.50189683,2.96E-05,BNB
25-04-2022,GMTUSDT,SELL,3.34957,11,36.84527,7.03E-05,BNB
23-04-2022,ADXUSDT,BUY,0.3726,50,18.63,3.47E-05,BNB
22-04-2022,ADXUSDT,BUY,0.3772,50,18.86,3.46E-05,BNB
21-04-2022,GMTUSDT,BUY,3,2.2,6.6,1.19E-05,BNB
21-04-2022,GMTUSDT,BUY,3,0.3,0.9,1.61E-06,BNB
21-04-2022,GMTUSDT,BUY,3,7.5,22.5,4.04E-05,BNB
21-04-2022,GMTUSDT,BUY,3.25,6.1,19.825,3.61E-05,BNB
19-04-2022,GMTUSDT,SELL,3.78967,5.2,19.706284,3.53E-05,BNB
19-04-2022,BTCUSDT,BUY,41007.21,0.00032,13.1223072,2.35E-05,BNB
19-04-2022,BTCUPUSDT,BUY,37.862,0.5,18.931,3.39E-05,BNB
19-04-2022,GMTUSDT,SELL,3.34271,35,116.99485,0.00021001,BNB
18-04-2022,VETUSDT,BUY,0.05873,180,10.5714,1.91E-05,BNB
18-04-2022,VETUSDT,BUY,0.0587,0.3,0.01761,3.00E-08,BNB
18-04-2022,VETUSDT,BUY,0.0587,170.7,10.02009,1.81E-05,BNB
18-04-2022,LINKUPUSDT,BUY,0.10962,150,16.443,2.98E-05,BNB
18-04-2022,GMTUSDT,SELL,2.97561,1.4,4.165854,7.54E-06,BNB
18-04-2022,GMTUSDT,SELL,2.97561,13.6,40.468296,7.33E-05,BNB
18-04-2022,ADAUPUSDT,BUY,7.135,1.41,10.06035,1.88E-05,BNB
18-04-2022,VETUSDT,BUY,0.05608,178.4,10.004672,1.87E-05,BNB
14-04-2022,MCUSDT,BUY,2.16,37.27,80.5032,0.00014509,BNB
14-04-2022,MCUSDT,BUY,2.16,5,10.8,1.95E-05,BNB
11-04-2022,AAVEUSDT,BUY,161.3,0.063,10.1619,1.92E-05,BNB
11-04-2022,GLMRUSDT,BUY,3.4423,3,10.3269,1.94E-05,BNB
11-04-2022,BSWUSDT,BUY,1.0468,10,10.468,1.97E-05,BNB
